Herman K. van Dijk	51.9244201	4.4777325
Monica Billio	45.4408474	12.3155151
Massimiliano Caporin	45.4064349	11.8767611
Christophe Croux	50.8798438	4.7005176
G. M. Gallo	43.7695604	11.2558136
J. Dai	51.542007	9.9357571
J. W. Davidson	50.7371548	-3.5328337
Andrea Monticini	45.4654219	9.1859243
Linyuan Li	43.139353	-70.9361201
Jill Vandermeerschen	45.50232	-73.5436479
Dragana Miljkovic	50.8880787	4.6866572
L. Iocchi	41.8910001	12.5036217
J. García	40.5609399	-4.0167486
Peter Reichert	47.3768866	8.541694
F. Foscarini	45.8139584	8.6120782
G. Bellocchi	45.8139584	8.6120782
R. Confalonieri	37.4315734	-78.6568942
Cristian Savini	45.8139584	8.6120782
Dario Rossi	48.856614	2.3522219
Silvio Valenti	48.856614	2.3522219
Charalampos Rotsos	52.2016671	0.1177882
Jurgen Van Gael	52.2016671	0.1177882
Federico Rodríguez-Teja	-34.90262	-56.1765436
Carlos Martinez-Cagnazzo	-34.90262	-56.1765436
Eduardo Grampín Castro	-34.90262	-56.1765436
Tomas Rodriguez	40.4167754	-3.7037902
Narciso N. García	40.442186	-3.7003236
Yoichi Kobayashi	35.7090259	139.7319925
Xiaoliang Tang	38.8796632	121.5229574
Jiashi Feng	1.2936452	103.7749621
Zhan Song	22.543096	114.057865
Bart Goethals	50.91083	5.41336
Arne Koopman	52.0907374	5.1214201
Marvin Meeng	52.1601144	4.4970097
Clara Pizzuti	39.3604697	16.2265218
Amir massoud Farahmand	53.4943212	-113.5490268
Majid Nili Ahmadabadi	35.7048679	51.4000833
Carco Lucas	35.7826442	51.4633892
Babak Nadjar Araabi	35.7048679	51.4000833
Jianchao Yang	40.1105875	-88.2072697
Yun Fu	37.4172771	-122.0251679
Luciano Silva da Silva	-30.0699383	-51.1183331
Si Si	30.2850284	-97.7335226
Vincent Yan Tan	42.3591	-71.0934
Paulo J. G. Lisboa	53.4051034	-2.972528
Alfredo Velido	41.5911589	1.5208624
Francesco Napolitano	41.9027835	12.4963655
M. Ceccarelli	51.441642	5.4697225
José D. Martín-Guerrero	39.4699075	-0.3762881
Elia Biganzoli	45.47137	9.2296929
Zicheng Liu	8.4944302	76.9473164
Meng Wang	40.8988058	-73.1299016
Zheng-Jun Zha	31.8382982	117.2609521
Xian-Sheng Hua	47.6402817	-122.130493
Chenlei Guo	31.2974669	121.524883
Zen Chen	24.792678	121.002403
Shu-Kuo Sun	43.1225229	-77.6665722
Xiaofei He	30.2919691	120.1638917
Xiaoou Tang	22.4155671	114.2071897
Zhihua Zhou	32.1278598	118.9612698
Junghyun Ahn	46.5195985	6.5684919
Georgios Paltoglou	40.6400629	22.9444191
D Thalmann	45.5031602	-73.616467
Woo-Keun Chung	35.22979	129.089385
Feng Chang	30.5282346	114.4276539
Liman Liu	30.5116397	114.426337
Yao Tianshun	41.7674641	123.4145076
Dongjoe Shin	52.379411	-1.563191
Jaime Melendez	51.8125626	5.8372264
Kewei Tang	38.914003	121.614682
Binbin Lin	30.3087859	120.0862419
K. -O. Cheng	22.3055658	114.1887233
N. F. Law	22.3055658	114.1887233
Seong-O Shim	35.1595454	126.8526012
